"telegram_chat_id","username"
"1587","CryptoJobber"
"1592","Twsiyet_Binance"
"1600","hitpumpangels"
"1608","Crypto_Busy"
"1626","goldpipsmaker"
"1632","primiumcryptosignals"
"1635","bitcoinfacileitalia"
"1638","altcoinwhales"
"1639","KucoinPumpSignalGroup"
"1648","CryptontezTA"
"1650","cryptopumpfinder_app"
"1673","InnerCircle_Free"
"1687","SabrenNews22"
"1688","maymun5"
"1689",NULL
"1690","sepah_pasdaran"
"1691","SEPAHCYBERY"
"1693","C_Military1"
"1694","binancekillervip"
"1696","army21ye"
"1697","Tweet92"
"1698","Tura313"
"1699","equity99"
"1700","markettwits"
"1701","CQSScalpingFree"
"1702","cryptoadvisorOfficial"
"1705","CryptoAman_Free"
"1710","STRONGSIGNALS"
"1718","Crypto_Lions10"
"1723","forexsignalsz"
"1727","CoinMarketCapEN"
"1729","scuola_di_trading"
"1730","TheCryptoWolf"
"1731","SpotFuturesScalpingBinance"
"1735","bigpumpsignals_official"
"1738","QualitySignalsChannel"
"1739","BitcoinBulletsVIPFree"
"1751","crypto_pump_lsland"
"1752","Sabereenp1"
"1753","finandyRU"
"1756","AlphaTradeZone_Group"
"1772","Hezbollah_com"
"1773","BabyCryptoChanneL"
"1774","coinguru1113"
"1776","expertoptradinggroup"
"1778","sajadsda"
"1780","americanwhales"
"1787","gridcoin"
"1789","binance_premium_signals"
"1791","binance7btc"
"1792","MENAPump"
"1797","krismacrypto"
"1798","robot_Trade_fr"
"1799","BFUNDTRADING"
"1803","Bitcoin_in_Arabic"
"1804","tabtrader_en"
"1805","signal_binance"
"1806","bitcoinpredict"
"1809","moon_team"
"1814","coinwhisperers"
"1817","PumpBotTalk"
"1821","TheCryptoExpressPremium"
"1825","crypto_pump_lsIand"
"1835","cry333"
"1840","the_great_pump"
"1841","BinanceKillersFreeVIP"
"1851","kenhchienluoc"
"1853","cryptoleakedsignals"
"1856","ibcsignals"
"1858","Poocoin_Pumps"
"1859","pumpmex"
"1864","GoldenSignalz"
"1865","mega_pump_signals"
"1866","pumpitupdiscord"
"1867","JRNYcryptoChat"
"1868","backstreetbets"
"1869","CryptoJoe100"
"1870","bittrexxnews"
"1874","KucoinPumpandDumps"
"1875","tradingfamilyfree"
"1876","crypto_pump07"
"1878","signal_profits"
"1886","procryptoann"
"1889","exceloncoin"
"1890","terrabitcoinclub"
"1891","topslivs"
"1905","DegenUpdate"
"1908","costrading"
"1912","TradingClubFree"
"1913",NULL
"1914","cryptoscamchat"
"1915","Crypto3Whales"
"1916","cryptokingdom_cz"
"1917","bitcoinhabernet"
"1918","robot_trade_info"
"1919","TradingCryptoBinance"
"1920","thebigcryptopumps"
"1921","solidcryptosignal"
"1923","wallstreetbetsignal"
"1924","PooCoinMoonPumps"
"1926","WallstreetBetsCrypto"
"1927","CakeMoonPumps"
"1929","crypto_pumps_group_share"
"1930","hotbit_signal_pump"
"1931","cryptovirussignals"
"1932","vip_binance_nima"
"1933","ResultsElite"
"1934","BinanceExpatsignal"
"1935","RexCryptoSignals"
"1936","RSpumpG"
"1937","HypeCoinPump"
"1938","coffeescafe"
"1939","BitcoinatbpPinasTube"
"1940","BinancePumpTime_CZ"
"1943","crypto_whales_signals"
"1944","mlmamantelegram"
"1945","crypto_pump_binance_day"
"1948","CryptoMarketFamily"
"1949","BraveNewCryptosResearch"
"1950","ielitesignals"
"1951","wallstreetbets_chats"
"1952","BitcoinCommunity3"
"1953","bigcryptocurrencypump"
"1954","KucoinInsiders"
"1955","mt2trading"
"1956","binancefreepro"
"1957","CryptoTradingExpertz"
"1958","eightyninewaves"
"1961","pumpingking"
"1962","myforexfamily"
